# Temperature Specific_Heats
0.669750 6.366014
0.673461 700.298420
0.677171 2.881403
0.680882 3.538154
0.684592 4.315977
0.688303 3.966373
0.692013 4.982832
0.695724 7.984532
0.699434 7.289160
0.703145 23.490158
0.706855 1.832322
0.710566 0.508003 
0.714276 0.472213
0.717987 0.608996
0.721697 0.681201
0.725408 0.168266
0.729118 0.542213
0.732829 0.575566
0.736539 0.091066
0.740250 0.096170
