# Temperature Internal_Energy Specific_Heat
0.950000 -0.931465 0.009754
0.955000 -0.934856 0.011339
0.960000 -0.937880 0.009010
0.965000 -0.940588 0.005627
0.970000 -0.943403 0.005954
0.975000 -0.946180 0.009614
0.980000 -0.948810 0.004694
0.985000 -0.951410 0.007705
0.990000 -0.953682 0.001492
0.995000 -0.956205 0.001813
1.000000 -0.958467 0.008566
1.005000 -0.961038 0.007717
