# Temperature Internal_Energy Specific_Heat
0.950000 -0.727119 55.604582
0.955000 -0.729405 55.440088
0.960000 -0.727048 54.611932
0.965000 -0.725882 52.031268
0.970000 -0.725992 49.786194
0.975000 -0.725724 47.971918
0.980000 -0.726361 44.706873
0.985000 -0.725406 47.333708
0.990000 -0.724952 45.426445
0.995000 -0.724553 45.772365
1.000000 -0.724835 43.252117
1.005000 -0.723773 41.765287
